YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,Avg_W_Tmp1,Avg_W_Tmp2,Avg_Sal,Avg_Wv_Dir,Avg_Wv_Dir_N,Avg_Cel1_Mag,Avg_Cel1_Dir,Avg_Cel1_Dir_N,M_Decl,Avg_Turb,Avg_Chl,Avg_DO,HAvg
2019,2,19,17,21,0,0.95,NULL,NULL,NULL,108.70,93.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.61
2019,2,19,17,51,0,0.83,NULL,NULL,NULL,110.90,95.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.52
2019,2,19,18,21,0,0.87,NULL,NULL,NULL,108.30,92.90,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.54
2019,2,19,18,51,0,0.88,NULL,NULL,NULL,109.90,94.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.54
2019,2,19,19,21,0,0.82,NULL,NULL,NULL,112.70,97.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.52
2019,2,19,19,51,0,0.87,NULL,NULL,NULL,109.80,94.40,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.54
2019,2,19,20,21,0,0.91,NULL,NULL,NULL,108.30,92.90,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.57
2019,2,19,20,51,0,0.82,NULL,NULL,NULL,108.00,92.60,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.51
2019,2,19,21,21,0,0.86,NULL,NULL,NULL,113.60,98.20,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.53
2019,2,19,21,51,0,0.88,NULL,NULL,NULL,110.60,95.20,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.54
2019,2,19,22,21,0,0.88,NULL,NULL,NULL,108.90,93.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.57
2019,2,19,22,51,0,0.81,NULL,NULL,NULL,108.80,93.40,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.51
2019,2,19,23,21,0,0.88,NULL,NULL,NULL,104.50,89.10,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.53
2019,2,19,23,51,0,0.86,NULL,NULL,NULL,108.10,92.70,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.54
2019,2,20,0,21,0,0.83,NULL,NULL,NULL,106.70,91.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.52
2019,2,20,0,51,0,0.78,NULL,NULL,NULL,109.20,93.80,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.51
2019,2,20,1,21,0,0.77,NULL,NULL,NULL,104.00,88.60,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.46
2019,2,20,1,51,0,0.80,NULL,NULL,NULL,105.70,90.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.50
2019,2,20,2,21,0,0.77,NULL,NULL,NULL,107.20,91.80,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.50
2019,2,20,2,51,0,0.78,NULL,NULL,NULL,109.90,94.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.49
2019,2,20,3,21,0,0.70,NULL,NULL,NULL,107.80,92.40,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.43
2019,2,20,3,51,0,0.77,NULL,NULL,NULL,108.50,93.10,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.50
2019,2,20,4,21,0,0.74,NULL,NULL,NULL,111.90,96.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.48
2019,2,20,4,51,0,0.82,NULL,NULL,NULL,110.00,94.60,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.51
2019,2,20,5,21,0,0.73,NULL,NULL,NULL,116.40,101.00,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.47
2019,2,20,5,51,0,0.72,NULL,NULL,NULL,115.20,99.80,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.47
2019,2,20,6,21,0,0.73,NULL,NULL,NULL,119.60,104.20,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.47
2019,2,20,6,51,0,0.69,NULL,NULL,NULL,122.70,107.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.46
2019,2,20,7,21,0,0.66,NULL,NULL,NULL,122.40,107.00,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.42
2019,2,20,7,51,0,0.62,NULL,NULL,NULL,121.60,106.20,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.40
2019,2,20,8,21,0,0.58,NULL,NULL,NULL,119.10,103.70,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.39
2019,2,20,8,51,0,0.62,NULL,NULL,NULL,116.30,100.90,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.39
2019,2,20,9,21,0,0.62,NULL,NULL,NULL,124.10,108.70,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.39
2019,2,20,9,51,0,0.65,NULL,NULL,NULL,121.70,106.30,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.40
2019,2,20,10,21,0,0.63,NULL,NULL,NULL,122.80,107.40,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.37
2019,2,20,10,51,0,0.62,NULL,NULL,NULL,123.60,108.20,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.36
2019,2,20,11,21,0,0.60,NULL,NULL,NULL,122.80,107.40,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.35
2019,2,20,11,51,0,0.64,NULL,NULL,NULL,122.30,106.90,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.38
2019,2,20,12,21,0,0.70,NULL,NULL,NULL,121.90,106.50,NULL,NULL,344.60,-15.40,NULL,NULL,NULL,0.41
